MessageId,NaiveBayes_Suspicious_Level_0,NaiveBayes_Suspicious_Level_1,NaiveBayes_Suspicious_Level_2
168641,0.59415936,0.19987509,-3.3546636
36569,2.1806438,-2.523844,-0.7213121
19697,2.321289,-4.937329,-4.2383733
49296,0.07566252,-1.904409,-1.5383468
11784,3.3331876,-3.221182,-3.5155241
48960,-1.0904859,-2.3126016,-2.7171824
168567,-0.4826089,-1.5313187,0.2991761
24176,0.7167858,-3.6707313,-0.6075238
122178,8.214742,-9.73813,-9.619973
208223,0.7963994,-0.25935695,-1.2607443
11786,2.7931263,-3.6237972,-2.969339
208959,2.7019074,-0.8900025,-5.8968205
48967,2.3416927,-4.551405,-1.1299065
31641,0.15418476,0.69481677,-2.1563663
36540,0.964144,-0.5908913,-4.402394
122216,0.628845,-5.6092043,-5.621558
122235,0.74931383,-3.356086,-6.2947216
51892,-0.16549933,0.29502833,-0.65262336
34824,-2.939267,-0.0886819,-2.6915355
122206,1.954229,-5.8553157,-2.390824
122188,1.6592363,-8.787131,-11.360305
122167,2.5667667,-1.8145854,-1.9718304
208288,-3.654859,3.0284076,-3.776662
31640,2.7724304,-3.4487672,-0.1738185
19702,17.746475,-26.813812,-14.123722
208248,-0.9996002,0.96823806,-2.133259
168576,0.8554604,-2.052668,-1.1235352
34808,2.7158828,-5.9767118,-6.2750664
208335,4.616932,-3.411852,-3.4841862
208358,2.8361197,-2.9964895,-2.1519032
40770,7.4456744,-7.243077,-6.6013646
15690,-2.8715212,5.4940233,-6.482
51871,-1.2855257,0.87834877,-1.2468939
168651,0.2612122,-2.3593857,-0.99808586
168539,1.3474803,-1.2068858,-1.2958257
51882,4.8721066,-5.510141,-6.5822477
208403,-0.54642844,-0.08442954,-2.6361089
208215,0.42726117,-1.152379,-2.5183477
19603,-0.46838212,0.24721217,-5.3501134
23166,1.431954,-5.422802,-1.8202386
49280,-0.3419943,-1.6794888,-0.52411544
34819,5.824185,-10.644999,-4.207688
6354,1.6945767,-1.3671122,-2.542044
214821,-0.3594051,-0.7905582,-1.2962601
208327,0.96340215,-6.2299666,-0.7204601
122261,1.8885772,-1.507277,-1.711736
214855,1.2004058,-1.1239007,-1.3850474
24171,-1.9771447,2.19318,-1.583385
7633,2.2290697,-1.9740542,-3.3647146
168608,1.0308115,-1.1194457,-1.5689409
208944,1.2913644,-0.050673235,-3.723804
208214,0.89842033,-2.6437802,-0.5898518
51912,3.873546,-6.033945,-8.190845
208245,3.3368306,-5.898286,-8.286297
