781847297	Exaggeration,Minimisation	88	97
781847297	Exaggeration,Minimisation	107	112
781847297	Loaded_Language	205	219
781847297	Loaded_Language	224	233
781847297	Doubt	330	445
781847297	Whataboutism	447	450
781847297	Whataboutism	453	469
781847297	Whataboutism	473	484
781847297	Whataboutism	490	519
781847297	Doubt	688	734
781847297	Loaded_Language	904	920
781847297	Name_Calling,Labeling	1144	1153
781847297	Loaded_Language	1471	1493
781847297	Name_Calling,Labeling	1590	1603
781847297	Name_Calling,Labeling	1722	1726
781847297	Exaggeration,Minimisation	1739	1756
