789615291	Loaded_Language	503	545
789615291	Loaded_Language	553	558
789615291	Causal_Oversimplification	724	733
789615291	Causal_Oversimplification	736	752
789615291	Causal_Oversimplification	756	827
789615291	Causal_Oversimplification	840	863
789615291	Causal_Oversimplification	871	937
789615291	Causal_Oversimplification	950	997
789615291	Causal_Oversimplification	1007	1117
789615291	Name_Calling,Labeling	1204	1213
789615291	Loaded_Language	2019	2025
789615291	Loaded_Language	2139	2158
789615291	Loaded_Language	2309	2343
789615291	Name_Calling,Labeling	2350	2353
789615291	Name_Calling,Labeling	2367	2378
789615291	Loaded_Language	2381	2392
789615291	Name_Calling,Labeling	2532	2541
789615291	Repetition	2532	2541
789615291	Loaded_Language	2821	2843
789615291	Name_Calling,Labeling	3491	3507
789615291	Loaded_Language	3757	3762
789615291	Loaded_Language	3775	3789
789615291	Doubt	4252	4319
789615291	Doubt	4321	4344
789615291	Loaded_Language	4845	4867
789615291	Name_Calling,Labeling	6142	6169
789615291	Loaded_Language	6843	6858
789615291	Name_Calling,Labeling	6989	7011
789615291	Name_Calling,Labeling	7021	7033
789615291	Loaded_Language	7132	7157
789615291	Flag-Waving	7158	7164
789615291	Flag-Waving	7183	7192
789615291	Flag-Waving	7202	7277
789615291	Slogans	7414	7434
789615291	Slogans	7439	7444
789615291	Name_Calling,Labeling	7711	7744
789615291	Name_Calling,Labeling	8291	8337
789615291	Name_Calling,Labeling	8606	8616
789615291	Loaded_Language	9032	9071
789615291	Loaded_Language	9856	9858
789615291	Name_Calling,Labeling	9859	9876
789615291	Loaded_Language	9884	9898
789615291	Loaded_Language	9920	9943
789615291	Doubt	10053	10072
789615291	Name_Calling,Labeling	10090	10112
789615291	Doubt	10077	10128
789615291	Name_Calling,Labeling	10123	10128
789615291	Causal_Oversimplification	10319	10370
789615291	Exaggeration,Minimisation	10319	10370
789615291	Causal_Oversimplification	10374	10393
789615291	Exaggeration,Minimisation	10374	10393
789615291	Causal_Oversimplification	10397	10483
789615291	Exaggeration,Minimisation	10397	10483
789615291	Loaded_Language	10584	10604
789615291	Loaded_Language	10636	10646
789615291	Name_Calling,Labeling	10882	10903
789615291	Loaded_Language	11536	11564
789615291	Name_Calling,Labeling	12205	12214
789615291	Loaded_Language	12342	12391
789615291	Loaded_Language	12399	12409
789615291	Name_Calling,Labeling	12777	12815
789615291	Loaded_Language	12869	12894
789615291	Loaded_Language	13059	13061
789615291	Loaded_Language	13115	13131
789615291	Name_Calling,Labeling	13313	13368
789615291	Name_Calling,Labeling	13422	13443
789615291	Name_Calling,Labeling	13468	13474
789615291	Loaded_Language	13524	13545
789615291	Name_Calling,Labeling	13787	13838
789615291	Name_Calling,Labeling	14046	14096
789615291	Loaded_Language	14173	14179
789615291	Repetition	14319	14325
789615291	Name_Calling,Labeling	14607	14622
789615291	Loaded_Language	14877	14944
789615291	Loaded_Language	14997	15021
789615291	Loaded_Language	15176	15199
