736231219	Slogans	19	37
736231219	Name_Calling,Labeling	38	48
736231219	Name_Calling,Labeling	68	76
736231219	Slogans	278	305
736231219	Name_Calling,Labeling	308	318
736231219	Name_Calling,Labeling	390	432
736231219	Name_Calling,Labeling	473	518
736231219	Name_Calling,Labeling	544	574
736231219	Red_Herring	700	772
736231219	Loaded_Language	812	843
736231219	Loaded_Language	970	984
736231219	Loaded_Language	986	1001
736231219	Name_Calling,Labeling	1052	1072
736231219	Exaggeration,Minimisation	1098	1134
736231219	Loaded_Language	1098	1134
736231219	Name_Calling,Labeling	1323	1354
736231219	Bandwagon	1363	1411
736231219	Bandwagon	1422	1456
736231219	Name_Calling,Labeling	1522	1559
736231219	Name_Calling,Labeling	1567	1588
736231219	Loaded_Language	1617	1636
736231219	Red_Herring	1642	1653
736231219	Red_Herring	1660	1718
736231219	Reductio_ad_hitlerum	1700	1718
736231219	Red_Herring	1726	1744
736231219	Reductio_ad_hitlerum	1726	1744
