788816478	Loaded_Language	160	179
788816478	Doubt	367	369
788816478	Doubt	391	403
788816478	Doubt	426	433
788816478	Causal_Oversimplification	456	509
788816478	Loaded_Language	504	509
788816478	Causal_Oversimplification	512	536
788816478	Loaded_Language	512	536
788816478	Loaded_Language	540	545
788816478	Causal_Oversimplification	540	558
788816478	Causal_Oversimplification	577	583
788816478	Causal_Oversimplification	586	640
788816478	Loaded_Language	654	687
788816478	Name_Calling,Labeling	1915	1921
788816478	Loaded_Language	1922	1923
788816478	Name_Calling,Labeling	1924	1941
788816478	Name_Calling,Labeling	1944	1983
788816478	Loaded_Language	1988	2046
788816478	Name_Calling,Labeling	3918	3925
788816478	Name_Calling,Labeling	4451	4465
788816478	Name_Calling,Labeling	4498	4506
788816478	Loaded_Language	4664	4671
788816478	Doubt	4768	4807
788816478	Loaded_Language	4778	4807
788816478	Name_Calling,Labeling	4788	4807
788816478	Doubt	4927	4957
788816478	Loaded_Language	4938	4957
788816478	Causal_Oversimplification	5507	5585
788816478	Loaded_Language	5711	5756
788816478	Loaded_Language	5774	5802
788816478	Appeal_to_Authority	6103	6112
788816478	Appeal_to_Authority	6116	6149
788816478	Appeal_to_Authority	6153	6190
788816478	Appeal_to_Authority	6195	6203
788816478	Appeal_to_Authority	6206	6232
788816478	Loaded_Language	6611	6640
788816478	Loaded_Language	6764	6783
788816478	Loaded_Language	6786	6794
